Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Map Scores,Team 1 Attack,Team 1 Defense,Team 1 Overtime,Team 2 Defense,Team 2 Attack,Team 2 Overtime,Durations (in seconds)
Champions Tour 2024: China Stage 2,All Gamers,TYLOO,2024-06-16 05:00:00,Bo3,AG ban Ascent; TYL ban Lotus; AG pick Sunset; TYL pick Icebox; AG ban Bind; TYL ban Breeze; Split remains,"['Sunset: 13-10', ' Icebox: 13-4']","['7', '8']","['6', '5']","[None, None]","['5', '4']","['5', '0']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,Bilibili Gaming,Wolves Esports,2024-06-16 07:05:00,Bo3,WOL ban Lotus; BLG ban Breeze; WOL pick Sunset; BLG pick Bind; WOL ban Ascent; BLG ban Icebox; Split remains,"['Sunset: 13-5', ' Bind: 13-7']","['4', '4']","['9', '9']","[None, None]","['2', '4']","['3', '3']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,Dragon Ranger Gaming,Nova Esports,2024-06-21 05:00:00,Bo3,DRG ban Bind; NOVA ban Haven; DRG pick Ascent; NOVA pick Lotus; DRG ban Split; NOVA ban Icebox; Sunset remains,"['Ascent: 13-7', ' Lotus: 12-14', ' Sunset: 5-13']","['6', '8', '2']","['7', '4', '3']","[None, '0', None]","['6', '4', '4']","['1', '8', '9']","[None, '2', None]","[None, None, None]"
Champions Tour 2024: China Stage 2,FunPlus Phoenix,Trace Esports,2024-06-21 08:15:00,Bo3,TE ban Icebox; FPX ban Split; TE pick Haven; FPX pick Lotus; TE ban Ascent; FPX ban Bind; Sunset remains,"['Haven: 13-5', ' Lotus: 13-15', ' Sunset: 6-13']","['10', '3', '1']","['3', '9', '5']","[None, '1', None]","['2', '9', '6']","['3', '3', '7']","[None, '3', None]","[None, None, None]"
Champions Tour 2024: China Stage 2,Titan Esports Club,All Gamers,2024-06-22 05:00:00,Bo3,AG ban Lotus; TEC ban Split; AG pick Sunset; TEC pick Icebox; AG ban Bind; TEC ban Haven; Ascent remains,"['Sunset: 10-13', ' Icebox: 6-13']","['8', '3']","['2', '3']","[None, None]","['4', '4']","['9', '9']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,EDward Gaming,Wolves Esports,2024-06-22 07:00:00,Bo3,WOL ban Haven; EDG ban Ascent; WOL pick Split; EDG pick Bind; WOL ban Lotus; EDG ban Sunset; Icebox remains,"['Split: 13-7', ' Bind: 12-14', ' Icebox: 7-13']","['4', '5', '5']","['9', '7', '2']","[None, '0', None]","['4', '7', '7']","['3', '5', '6']","[None, '2', None]","[None, None, None]"
Champions Tour 2024: China Stage 2,TYLOO,Trace Esports,2024-06-23 05:00:00,Bo3,TYL ban Lotus; TE ban Icebox; TYL pick Split; TE pick Sunset; TYL ban Ascent; TE ban Bind; Haven remains,"['Split: 11-13', ' Sunset: 13-7', ' Haven: 4-13']","['7', '7', '4']","['4', '6', '0']","[None, None, None]","['5', '5', '8']","['8', '2', '5']","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,Nova Esports,Bilibili Gaming,2024-06-23 08:05:00,Bo3,BLG ban Sunset; NOVA ban Haven; BLG pick Split; NOVA pick Bind; BLG ban Icebox; NOVA ban Lotus; Ascent remains,"['Split: 16-14', ' Bind: 9-13', ' Ascent: 6-13']","['4', '4', '3']","['8', '5', '3']","['4', None, None]","['8', '8', '9']","['4', '5', '4']","['2', None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,JDG Esports,FunPlus Phoenix,2024-06-26 07:00:00,Bo3,JDG ban Ascent; FPX ban Split; JDG pick Sunset; FPX pick Haven; JDG ban Lotus; FPX ban Icebox; Bind remains,"['Sunset: 8-13', ' Haven: 12-14']","['4', '5']","['4', '7']","[None, '0']","['5', '7']","['8', '5']","[None, '2']","[None, None]"
Champions Tour 2024: China Stage 2,EDward Gaming,Dragon Ranger Gaming,2024-06-27 07:00:00,Bo3,EDG ban Ascent; DRG ban Bind; EDG pick Lotus; DRG pick Haven; EDG ban Icebox; DRG ban Sunset; Split remains,"['Lotus: 11-13', ' Haven: 5-13']","['4', '3']","['7', '2']","[None, None]","['8', '9']","['5', '4']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,Nova Esports,Wolves Esports,2024-06-28 05:00:00,Bo3,WOL ban Lotus; NOVA ban Haven; WOL pick Icebox; NOVA pick Sunset; WOL ban Split; NOVA ban Ascent; Bind remains,"['Icebox: 14-12', ' Sunset: 15-13']","['10', '4']","['2', '8']","['2', '3']","['2', '8']","['10', '4']","['0', '1']","[None, None]"
Champions Tour 2024: China Stage 2,JDG Esports,Trace Esports,2024-06-28 07:35:00,Bo3,JDG ban Split; TE ban Icebox; JDG pick Bind; TE pick Sunset; JDG ban Lotus; TE ban Ascent; Haven remains,"['Bind: 13-2', ' Sunset: 8-13', ' Haven: 13-6']","['3', '5', '6']","['10', '3', '7']","[None, None, None]","['0', '4', '1']","['2', '9', '5']","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,Titan Esports Club,TYLOO,2024-06-29 05:00:00,Bo3,TEC ban Split; TYL ban Lotus; TEC pick Bind; TYL pick Ascent; TEC ban Haven; TYL ban Sunset; Icebox remains,"['Bind: 11-13', ' Ascent: 13-9', ' Icebox: 9-13']","['2', '6', '6']","['9', '7', '3']","[None, None, None]","['10', '6', '6']","['3', '3', '7']","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,All Gamers,FunPlus Phoenix,2024-06-29 08:30:00,Bo3,AG ban Lotus; FPX ban Split; AG pick Sunset; FPX pick Haven; AG ban Bind; FPX ban Icebox; Ascent remains,"['Sunset: 11-13', ' Haven: 13-8', ' Ascent: 7-13']","['5', '6', '2']","['6', '7', '5']","[None, None, None]","['7', '6', '6']","['6', '2', '7']","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,Bilibili Gaming,Dragon Ranger Gaming,2024-06-30 05:00:00,Bo3,BLG ban Icebox; DRG ban Bind; BLG pick Lotus; DRG pick Ascent; BLG ban Haven; DRG ban Sunset; Split remains,"['Lotus: 13-11', ' Ascent: 13-11']","['7', '5']","['6', '8']","[None, None]","['5', '7']","['6', '4']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,EDward Gaming,Nova Esports,2024-06-30 07:20:00,Bo3,NOVA ban Haven; EDG ban Ascent; NOVA pick Lotus; EDG pick Bind; NOVA ban Split; EDG ban Icebox; Sunset remains,"['Lotus: 13-9', ' Bind: 13-6']","['6', '8']","['7', '5']","[None, None]","['4', '4']","['5', '2']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,All Gamers,Trace Esports,2024-07-03 07:00:00,Bo3,AG ban Lotus; TE ban Icebox; AG pick Haven; TE pick Sunset; AG ban Ascent; TE ban Bind; Split remains,"['Haven: 6-13', ' Sunset: 4-13']","['4', '3']","['2', '1']","[None, None]","['3', '9']","['10', '4']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,Titan Esports Club,FunPlus Phoenix,2024-07-04 07:00:00,Bo3,FPX ban Split; TEC ban Haven; FPX pick Lotus; TEC pick Sunset; FPX ban Icebox; TEC ban Ascent; Bind remains,"['Lotus: 13-9', ' Sunset: 13-6']","['6', '5']","['7', '8']","[None, None]","['6', '2']","['3', '4']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,TYLOO,JDG Esports,2024-07-05 05:00:00,Bo3,JDG ban Sunset; TYL ban Lotus; JDG pick Haven; TYL pick Icebox; JDG ban Ascent; TYL ban Split; Bind remains,"['Haven: 1-13', ' Icebox: 9-13']","['1', '7']","['0', '2']","[None, None]","['11', '5']","['2', '8']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,Dragon Ranger Gaming,Wolves Esports,2024-07-05 07:00:00,Bo3,WOL ban Lotus; DRG ban Sunset; WOL pick Icebox; DRG pick Ascent; WOL ban Split; DRG ban Bind; Haven remains,"['Icebox: 7-13', ' Ascent: 6-13']","['2', '4']","['5', '2']","[None, None]","['6', '8']","['7', '5']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,Trace Esports,Titan Esports Club,2024-07-06 05:00:00,Bo3,TE ban Icebox; TEC ban Split; TE pick Lotus; TEC pick Bind; TE ban Ascent; TEC ban Sunset; Haven remains,"['Lotus: 13-11', ' Bind: 8-13', ' Haven: 13-10']","['6', '4', '7']","['7', '4', '6']","[None, None, None]","['6', '5', '5']","['5', '8', '5']","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,EDward Gaming,Bilibili Gaming,2024-07-06 08:20:00,Bo3,BLG ban Bind; EDG ban Split; BLG pick Icebox; EDG pick Haven; BLG ban Sunset; EDG ban Ascent; Lotus remains,"['Icebox: 13-11', ' Haven: 13-8']","['7', '5']","['6', '8']","[None, None]","['5', '4']","['6', '4']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,JDG Esports,All Gamers,2024-07-07 05:00:00,Bo3,JDG ban Sunset; AG ban Bind; JDG pick Haven; AG pick Icebox; JDG ban Lotus; AG ban Ascent; Split remains,"['Haven: 13-8', ' Icebox: 13-3']","['7', '3']","['6', '10']","[None, None]","['5', '1']","['3', '2']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,TYLOO,FunPlus Phoenix,2024-07-07 07:00:00,Bo3,TYL ban Lotus; FPX ban Split; TYL pick Icebox; FPX pick Haven; TYL ban Bind; FPX ban Sunset; Ascent remains,"['Icebox: 5-13', ' Haven: 14-12', ' Ascent: 13-4']","['1', '6', '4']","['4', '6', '9']","[None, '2', None]","['5', '6', '1']","['8', '6', '3']","[None, '0', None]","[None, None, None]"
Champions Tour 2024: China Stage 2,Trace Esports,All Gamers,2024-07-16 04:00:00,Bo3,AG ban Abyss; TE ban Icebox; AG pick Lotus; TE pick Sunset; AG ban Ascent; TE ban Bind; Haven remains,"['Lotus: 13-7', ' Sunset: 13-10']","['9', '8']","['4', '5']","[None, None]","['3', '3']","['4', '7']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,JDG Esports,Bilibili Gaming,2024-07-16 06:25:00,Bo3,BLG ban Haven; JDG ban Abyss; BLG pick Sunset; JDG pick Icebox; BLG ban Bind; JDG ban Ascent; Lotus remains,"['Sunset: 9-13', ' Icebox: 7-13']","['4', '2']","['5', '5']","[None, None]","['6', '6']","['7', '7']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,FunPlus Phoenix,Trace Esports,2024-07-17 04:00:00,Bo3,TE ban Icebox; FPX ban Sunset; TE pick Ascent; FPX pick Haven; TE ban Abyss; FPX ban Bind; Lotus remains,"['Ascent: 3-13', ' Haven: 11-13']","['3', '8']","['0', '3']","[None, None]","['9', '4']","['4', '9']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,EDward Gaming,Bilibili Gaming,2024-07-17 06:10:00,Bo3,BLG ban Haven; EDG ban Ascent; BLG pick Sunset; EDG pick Bind; BLG ban Icebox; EDG ban Abyss; Lotus remains,"['Sunset: 13-5', ' Bind: 7-13', ' Lotus: 13-10']","['7', '4', '9']","['6', '3', '4']","[None, None, None]","['5', '8', '3']","['0', '5', '7']","[None, None, None]","[None, None, None]"
Champions Tour 2024: China Stage 2,Trace Esports,EDward Gaming,2024-07-18 04:00:00,Bo3,TE ban Icebox; EDG ban Ascent; TE pick Sunset; EDG pick Abyss; TE ban Haven; EDG ban Bind; Lotus remains,"['Sunset: 2-13', ' Abyss: 5-13']","['0', '5']","['2', '0']","[None, None]","['3', '7']","['10', '6']","[None, None]","[None, None]"
Champions Tour 2024: China Stage 2,FunPlus Phoenix,Bilibili Gaming,2024-07-18 05:50:00,Bo3,BLG ban Haven; FPX ban Sunset; BLG pick Ascent; FPX pick Icebox; BLG ban Abyss; FPX ban Bind; Lotus remains,"['Ascent: 13-3', ' Icebox: 12-14', ' Lotus: 13-10']","['4', '7', '7']","['9', '5', '6']","[None, '0', None]","['0', '5', '4']","['3', '7', '6']","[None, '2', None]","[None, None, None]"
Champions Tour 2024: China Stage 2,Trace Esports,FunPlus Phoenix,2024-07-19 04:00:00,Bo5,FPX ban Sunset; TE ban Icebox; FPX pick Lotus; TE pick Ascent; FPX pick Abyss; TE pick Bind; Haven remains,"['Lotus: 13-11', ' Ascent: 13-8', ' Abyss: 8-13', ' Bind: 9-13', ' Haven: 8-13']","['7', '6', '5', '6', '6']","['6', '7', '3', '3', '2']","[None, None, None, None, None]","['5', '6', '7', '6', '6']","['6', '2', '6', '7', '7']","[None, None, None, None, None]","[None, None, None, None, None]"
Champions Tour 2024: China Stage 2,EDward Gaming,FunPlus Phoenix,2024-07-20 04:30:00,Bo5,EDG ban Ascent; EDG ban Lotus; EDG pick Sunset; FPX pick Abyss; EDG pick Haven; FPX pick Icebox; Bind remains,"['Sunset: 13-9', ' Abyss: 8-13', ' Haven: 13-7', ' Icebox: 9-13', ' Bind: 13-8']","['9', '5', '4', '7', '10']","['4', '3', '9', '2', '3']","[None, None, None, None, None]","['3', '7', '4', '5', '2']","['6', '6', '3', '8', '6']","[None, None, None, None, None]","[None, None, None, None, None]"
Champions Tour 2024: Pacific Stage 2,ZETA DIVISION,DRX,2024-06-15 04:00:00,Bo3,DRX ban Bind; ZETA ban Split; DRX pick Icebox; ZETA pick Sunset; DRX ban Ascent; ZETA ban Lotus; Breeze remains,"['Icebox: 0-13', ' Sunset: 13-11', ' Breeze: 4-13']","['0', '5', '2']","['0', '8', '2']","[None, None, None]","['1', '7', '3']","['12', '4', '10']","[None, None, None]","[2622, 2844, 2292]"
Champions Tour 2024: Pacific Stage 2,Team Secret,BLEED,2024-06-15 06:40:00,Bo3,BLD ban Icebox; TS ban Bind; BLD pick Ascent; TS pick Sunset; BLD ban Breeze; TS ban Lotus; Split remains,"['Ascent: 10-13', ' Sunset: 13-8', ' Split: 13-8']","['0', '8', '5']","['10', '5', '8']","[None, None, None]","['11', '1', '4']","['2', '7', '4']","[None, None, None]","[3105, 2875, 2949]"
Champions Tour 2024: Pacific Stage 2,T1,Gen.G,2024-06-16 04:00:00,Bo3,T1 ban Breeze; GEN ban Icebox; T1 pick Split; GEN pick Lotus; T1 ban Bind; GEN ban Ascent; Sunset remains,"['Split: 13-15', ' Lotus: 13-5', ' Sunset: 9-13']","['7', '4', '4']","['5', '9', '5']","['1', None, None]","['5', '2', '6']","['7', '3', '7']","['3', None, None]","[4850, 2565, 3016]"
Champions Tour 2024: Pacific Stage 2,Paper Rex,Talon Esports,2024-06-16 07:30:00,Bo3,TLN ban Split; PRX ban Breeze; TLN pick Icebox; PRX pick Sunset; TLN ban Lotus; PRX ban Ascent; Bind remains,"['Icebox: 13-4', ' Sunset: 13-7']","['9', '9']","['4', '4']","[None, None]","['3', '3']","['1', '4']","[None, None]","[2273, 2401]"
Champions Tour 2024: Pacific Stage 2,Rex Regum Qeon,DetonatioN FocusMe,2024-06-17 04:00:00,Bo3,RRQ ban Bind; DFM ban Breeze; RRQ pick Icebox; DFM pick Ascent; RRQ ban Sunset; DFM ban Split; Lotus remains,"['Icebox: 15-13', ' Ascent: 13-9']","['8', '6']","['4', '7']","['3', None]","['4', '6']","['8', '3']","['1', None]","[4494, 2916]"
Champions Tour 2024: Pacific Stage 2,Team Secret,Global Esports,2024-06-17 06:35:00,Bo3,TS ban Bind; GE ban Breeze; TS pick Sunset; GE pick Ascent; TS ban Lotus; GE ban Split; Icebox remains,"['Sunset: 13-8', ' Ascent: 13-10']","['2', '8']","['11', '5']","[None, None]","['7', '3']","['1', '7']","[None, None]","[2821, 3144]"
Champions Tour 2024: Pacific Stage 2,Talon Esports,Rex Regum Qeon,2024-06-22 04:00:00,Bo3,TLN ban Split; RRQ ban Bind; TLN pick Lotus; RRQ pick Ascent; TLN ban Sunset; RRQ ban Haven; Icebox remains,"['Lotus: 15-13', ' Ascent: 10-13', ' Icebox: 13-10']","['6', '5', '10']","['6', '5', '3']","['3', None, None]","['6', '6', '2']","['6', '7', '8']","['1', None, None]","[4361, 3124, 4292]"
Champions Tour 2024: Pacific Stage 2,Paper Rex,DRX,2024-06-22 07:50:00,Bo3,PRX ban Ascent; DRX ban Sunset; PRX pick Split; DRX pick Haven; PRX ban Bind; DRX ban Lotus; Icebox remains,"['Split: 13-4', ' Haven: 8-13', ' Icebox: 13-5']","['9', '7', '10']","['4', '1', '3']","[None, None, None]","['3', '5', '2']","['1', '8', '3']","[None, None, None]","[2136, 2686, 2381]"
Champions Tour 2024: Pacific Stage 2,Global Esports,BLEED,2024-06-23 04:00:00,Bo3,GE ban Split; BLD ban Icebox; GE pick Lotus; BLD pick Sunset; GE ban Bind; BLD ban Ascent; Haven remains,"['Lotus: 13-6', ' Sunset: 13-6']","['9', '6']","['4', '7']","[None, None]","['3', '1']","['3', '5']","[None, None]","[3315, 2913]"
Champions Tour 2024: Pacific Stage 2,DetonatioN FocusMe,ZETA DIVISION,2024-06-23 06:05:00,Bo3,DFM ban Bind; ZETA ban Split; DFM pick Haven; ZETA pick Sunset; DFM ban Lotus; ZETA ban Icebox; Ascent remains,"['Haven: 7-13', ' Sunset: 13-9', ' Ascent: 13-10']","['3', '7', '7']","['4', '6', '6']","[None, None, None]","['5', '5', '4']","['8', '4', '6']","[None, None, None]","[3162, 3246, 3121]"
Champions Tour 2024: Pacific Stage 2,DRX,Rex Regum Qeon,2024-06-24 04:00:00,Bo3,DRX ban Icebox; RRQ ban Bind; DRX pick Split; RRQ pick Sunset; DRX ban Lotus; RRQ ban Ascent; Haven remains,"['Split: 12-14', ' Sunset: 12-14']","['3', '4']","['9', '8']","['0', '0']","['9', '8']","['3', '4']","['2', '2']","[3798, 3129]"
Champions Tour 2024: Pacific Stage 2,Team Secret,T1,2024-06-24 06:20:00,Bo3,TS ban Bind; T1 ban Sunset; TS pick Haven; T1 pick Split; TS ban Ascent; T1 ban Lotus; Icebox remains,"['Haven: 10-13', ' Split: 13-6', ' Icebox: 14-12']","['4', '7', '8']","['6', '6', '4']","[None, None, '2']","['7', '5', '4']","['6', '1', '8']","[None, None, '0']","[3164, 2601, 3282]"
Champions Tour 2024: Pacific Stage 2,Talon Esports,DetonatioN FocusMe,2024-06-29 04:00:00,Bo3,TLN ban Split; DFM ban Bind; TLN pick Lotus; DFM pick Sunset; TLN ban Haven; DFM ban Icebox; Ascent remains,"['Lotus: 13-7', ' Sunset: 13-10']","['7', '6']","['6', '7']","[None, None]","['5', '6']","['2', '4']","[None, None]","[3128, 3273]"
Champions Tour 2024: Pacific Stage 2,ZETA DIVISION,Rex Regum Qeon,2024-06-29 06:10:00,Bo3,RRQ ban Bind; ZETA ban Icebox; RRQ pick Split; ZETA pick Sunset; RRQ ban Haven; ZETA ban Lotus; Ascent remains,"['Split: 8-13', ' Sunset: 10-13']","['6', '7']","['2', '3']","[None, None]","['6', '4']","['7', '9']","[None, None]","[3013, 3155]"
Champions Tour 2024: Pacific Stage 2,Global Esports,T1,2024-06-30 04:00:00,Bo3,GE ban Bind; T1 ban Sunset; GE pick Icebox; T1 pick Lotus; GE ban Split; T1 ban Haven; Ascent remains,"['Icebox: 13-10', ' Lotus: 8-13', ' Ascent: 8-13']","['6', '4', '6']","['7', '4', '2']","[None, None, None]","['5', '8', '6']","['5', '5', '7']","[None, None, None]","[3462, 2944, 3019]"
Champions Tour 2024: Pacific Stage 2,BLEED,Gen.G,2024-06-30 07:15:00,Bo3,BLD ban Lotus; GEN ban Bind; BLD pick Ascent; GEN pick Sunset; BLD ban Split; GEN ban Haven; Icebox remains,"['Ascent: 6-13', ' Sunset: 13-10', ' Icebox: 11-13']","['6', '8', '7']","['0', '5', '4']","[None, None, None]","['6', '3', '5']","['7', '7', '8']","[None, None, None]","[2793, 2911, 2986]"
Champions Tour 2024: Pacific Stage 2,Paper Rex,DetonatioN FocusMe,2024-07-01 04:00:00,Bo3,DFM ban Split; PRX ban Ascent; DFM pick Icebox; PRX pick Sunset; DFM ban Bind; PRX ban Haven; Lotus remains,"['Icebox: 13-4', ' Sunset: 13-8']","['10', '5']","['3', '8']","[None, None]","['2', '4']","['2', '4']","[None, None]","[2965, 2789]"
Champions Tour 2024: Pacific Stage 2,DRX,Talon Esports,2024-07-01 06:00:00,Bo3,DRX ban Lotus; TLN ban Split; DRX pick Ascent; TLN pick Haven; DRX ban Sunset; TLN ban Bind; Icebox remains,"['Ascent: 11-13', ' Haven: 13-10', ' Icebox: 13-5']","['8', '7', '12']","['3', '6', '1']","[None, None, None]","['4', '5', '0']","['9', '5', '5']","[None, None, None]","[3490, 3021, 2238]"
Champions Tour 2024: Pacific Stage 2,Paper Rex,Rex Regum Qeon,2024-07-05 04:00:00,Bo3,PRX ban Split; RRQ ban Bind; PRX pick Lotus; RRQ pick Ascent; PRX ban Haven; RRQ ban Icebox; Sunset remains,"['Lotus: 13-7', ' Ascent: 7-13', ' Sunset: 13-10']","['5', '5', '7']","['8', '2', '6']","[None, None, None]","['3', '7', '5']","['4', '6', '5']","[None, None, None]","[3157, 2531, 2870]"
Champions Tour 2024: Pacific Stage 2,Gen.G,Global Esports,2024-07-05 07:00:00,Bo3,GE ban Bind; GEN ban Icebox; GE pick Lotus; GEN pick Ascent; GE ban Split; GEN ban Haven; Sunset remains,"['Lotus: 13-1', ' Ascent: 13-6']","['2', '6']","['11', '7']","[None, None]","['0', '1']","['1', '5']","[None, None]","[2196, 2803]"
Champions Tour 2024: Pacific Stage 2,DRX,DetonatioN FocusMe,2024-07-06 04:00:00,Bo3,DRX ban Sunset; DFM ban Split; DRX pick Icebox; DFM pick Ascent; DRX ban Bind; DFM ban Lotus; Haven remains,"['Icebox: 13-7', ' Ascent: 6-13', ' Haven: 13-2']","['6', '5', '10']","['7', '1', '3']","[None, None, None]","['2', '7', '2']","['5', '6', '0']","[None, None, None]","[3391, 2319, 2067]"
Champions Tour 2024: Pacific Stage 2,ZETA DIVISION,Talon Esports,2024-07-06 06:45:00,Bo3,ZETA ban Icebox; TLN ban Split; ZETA pick Ascent; TLN pick Lotus; ZETA ban Sunset; TLN ban Bind; Haven remains,"['Ascent: 13-6', ' Lotus: 8-13', ' Haven: 13-8']","['4', '2', '7']","['9', '6', '6']","[None, None, None]","['3', '7', '5']","['3', '6', '3']","[None, None, None]","[2564, 3044, 2722]"
Champions Tour 2024: Pacific Stage 2,Gen.G,Team Secret,2024-07-07 04:00:00,Bo3,TS ban Bind; GEN ban Icebox; TS pick Sunset; GEN pick Lotus; TS ban Ascent; GEN ban Haven; Split remains,"['Sunset: 6-13', ' Lotus: 13-7', ' Split: 12-14']","['4', '6', '3']","['2', '7', '9']","[None, None, '0']","['3', '2', '9']","['10', '5', '3']","[None, None, '2']","[2846, 2575, 3659]"
Champions Tour 2024: Pacific Stage 2,Paper Rex,ZETA DIVISION,2024-07-07 07:00:00,Bo3,ZETA ban Icebox; PRX ban Haven; ZETA pick Ascent; PRX pick Lotus; ZETA ban Split; PRX ban Bind; Sunset remains,"['Ascent: 9-13', ' Lotus: 13-8', ' Sunset: 13-4']","['7', '11', '5']","['2', '2', '8']","[None, None, None]","['5', '1', '0']","['8', '7', '4']","[None, None, None]","[3016, 2725, 2220]"
Champions Tour 2024: Pacific Stage 2,T1,BLEED,2024-07-08 04:00:00,Bo3,BLD ban Split; T1 ban Sunset; BLD pick Bind; T1 pick Lotus; BLD ban Icebox; T1 ban Haven; Ascent remains,"['Bind: 13-11', ' Lotus: 9-13', ' Ascent: 13-8']","['3', '3', '7']","['10', '6', '6']","[None, None, None]","['9', '7', '5']","['2', '6', '3']","[None, None, None]","[3689, 3020, 2767]"
Champions Tour 2024: Pacific Stage 2,Gen.G,Rex Regum Qeon,2024-07-12 04:00:00,Bo3,RRQ ban Lotus; GEN ban Abyss; RRQ pick Haven; GEN pick Bind; RRQ ban Ascent; GEN ban Icebox; Sunset remains,"['Haven: 13-8', ' Bind: 13-11']","['6', '7']","['7', '6']","[None, None]","['3', '5']","['5', '6']","[None, None]","[3666, 3136]"
Champions Tour 2024: Pacific Stage 2,Team Secret,Talon Esports,2024-07-12 06:15:00,Bo3,TLN ban Sunset; TS ban Bind; TLN pick Lotus; TS pick Abyss; TLN ban Icebox; TS ban Ascent; Haven remains,"['Lotus: 11-13', ' Abyss: 11-13']","['5', '5']","['6', '6']","[None, None]","['7', '7']","['6', '6']","[None, None]","[3708, 3348]"
Champions Tour 2024: Pacific Stage 2,Paper Rex,Gen.G,2024-07-13 04:00:00,Bo3,GEN ban Abyss; PRX ban Haven; GEN pick Ascent; PRX pick Icebox; GEN ban Sunset; PRX ban Bind; Lotus remains,"['Ascent: 10-13', ' Icebox: 5-13']","['3', '4']","['7', '1']","[None, None]","['9', '8']","['4', '5']","[None, None]","[3574, 2340]"
Champions Tour 2024: Pacific Stage 2,DRX,Talon Esports,2024-07-13 06:05:00,Bo3,TLN ban Icebox; DRX ban Lotus; TLN pick Ascent; DRX pick Abyss; TLN ban Bind; DRX ban Haven; Sunset remains,"['Ascent: 13-8', ' Abyss: 13-4']","['7', '5']","['6', '8']","[None, None]","['5', '0']","['3', '4']","[None, None]","[3320, 2381]"
Champions Tour 2024: Pacific Stage 2,Gen.G,DRX,2024-07-14 04:00:00,Bo3,GEN ban Abyss; DRX ban Lotus; GEN pick Haven; DRX pick Sunset; GEN ban Icebox; DRX ban Ascent; Bind remains,"['Haven: 13-9', ' Sunset: 10-13', ' Bind: 13-6']","['4', '4', '6']","['9', '6', '7']","[None, None, None]","['6', '7', '1']","['3', '6', '5']","[None, None, None]","[3421, 3234, 2770]"
Champions Tour 2024: Pacific Stage 2,Paper Rex,Talon Esports,2024-07-14 07:15:00,Bo3,TLN ban Abyss; PRX ban Haven; TLN pick Ascent; PRX pick Sunset; TLN ban Icebox; PRX ban Bind; Lotus remains,"['Ascent: 13-3', ' Sunset: 13-3']","['3', '9']","['10', '4']","[None, None]","['1', '3']","['2', '0']","[None, None]","[2433, 2004]"
Champions Tour 2024: Pacific Stage 2,DRX,Paper Rex,2024-07-20 04:00:00,Bo5,DRX ban Sunset; PRX ban Haven; DRX pick Abyss; PRX pick Lotus; DRX pick Bind; PRX pick Icebox; Ascent remains,"['Abyss: 7-13', ' Lotus: 10-13', ' Bind: 13-10', ' Icebox: 13-10', ' Ascent: 13-7']","['1', '5', '5', '6', '7']","['6', '5', '8', '7', '6']","[None, None, None, None, None]","['7', '7', '6', '6', '5']","['6', '6', '4', '4', '2']","[None, None, None, None, None]","[2872, 2585, 2928, 2939, 2612]"
Champions Tour 2024: Pacific Stage 2,Gen.G,DRX,2024-07-21 04:00:00,Bo5,GEN ban Sunset; GEN ban Abyss; GEN pick Haven; DRX pick Bind; GEN pick Lotus; DRX pick Icebox; Ascent remains,"['Haven: 6-13', ' Bind: 18-16', ' Lotus: 14-12', ' Icebox: 13-6']","['4', '5', '7', '6']","['2', '7', '5', '7']","[None, '6', '2', None]","['3', '7', '5', '1']","['10', '5', '7', '5']","[None, '4', '0', None]","[2713, 4959, 3475, 2376]"
Champions Tour 2024: EMEA Stage 2,FUT Esports,KOI,2024-06-18 14:00:00,Bo3,KOI ban Ascent; FUT ban Breeze; KOI pick Split; FUT pick Lotus; KOI ban Bind; FUT ban Icebox; Sunset remains,"['Split: 13-7', ' Lotus: 7-13', ' Sunset: 13-6']","['5', '4', '10']","['8', '3', '3']","[None, None, None]","['3', '4', '2']","['4', '9', '4']","[None, None, None]","[3555, 2744, 2332]"
